          ,close  ,high              ,low    ,p_change             ,open  ,pre_close,volume  ,date    ,date_week,key,atr21             ,atr14
2018-09-21,221.9  ,223.37            ,220.89 ,0.23                 ,222.14,221.39   ,7177811 ,20180921,4        ,323,4.026475591355461 ,4.088389364122891
2018-09-24,221.35 ,222.14            ,218.21 ,-0.248               ,220.41,221.9    ,2520247 ,20180924,0        ,324,4.017705083050417 ,4.067270782239836
2018-09-25,222.12 ,223.04            ,221.22 ,0.348                ,221.92,221.35   ,2181328 ,20180925,1        ,325,3.8179137118640076,3.7676346779411904
2018-09-26,222.26 ,224.36            ,221.7  ,0.063                ,222.62,222.12   ,2963613 ,20180926,2        ,326,3.744467010785456 ,3.66661672088236
2018-09-27,222.31 ,223.61            ,222.06 ,0.022                ,222.69,222.26   ,2645186 ,20180927,3        ,327,3.5449700098049557,3.3844011580980466
2018-09-28,222.61 ,223.69            ,221.05 ,0.135                ,222.13,222.31   ,2954987 ,20180928,4        ,328,3.4627000089135933,3.2851476703516385
2018-10-01,223.77 ,225.35            ,223.09 ,0.521                ,224.84,222.61   ,2955567 ,20181001,0        ,329,3.4242727353759923,3.2524613143047523
2018-10-02,222.37 ,223.73            ,221.01 ,-0.626               ,223.5 ,223.77   ,3060972 ,20181002,1        ,330,3.360247941250901 ,3.181466472397452
2018-10-03,223.13 ,224.33            ,222.55 ,0.342                ,223.78,222.37   ,2662415 ,20181003,2        ,331,3.2165890375008166,2.994604276077792
2018-10-04,216.15 ,222.15            ,214.59 ,-3.128               ,222.07,223.13   ,5664863 ,20181004,3        ,332,3.631444579546209 ,3.6326570392674276
2018-10-05,213.26 ,217.19            ,211.85 ,-1.337               ,216.45,216.15   ,4268256 ,20181005,4        ,333,4.326767799587476 ,4.652302767365107
2018-10-08,208.26 ,211.8             ,203.25 ,-2.345               ,211.7 ,213.26   ,5610955 ,20181008,0        ,334,5.1061525450795395,5.751995731716435
2018-10-09,209.76 ,210.99            ,206.69 ,0.72                 ,208.06,208.26   ,5659367 ,20181009,1        ,335,5.239229586435949 ,5.861062967487579
2018-10-10,196.69 ,209.33            ,196.01 ,-6.231               ,209.33,209.76   ,8454980 ,20181010,2        ,336,5.973845078578146 ,6.855587905155905
2018-10-11,194.51 ,199.727           ,192.91 ,-1.108               ,194.65,196.69   ,9185152 ,20181011,3        ,337,6.9625864350710565,8.188176184468457
2018-10-12,204.22 ,204.84            ,199.537,4.992                ,200.57,194.51   ,6160285 ,20181012,4        ,338,7.070533122791868 ,8.183086026539327
2018-10-15,200.32 ,203.8             ,199.53 ,-1.91                ,203.72,204.22   ,3969219 ,20181015,0        ,339,7.2723028389017   ,8.330674556334081
2018-10-16,207.78 ,208.12            ,202.53 ,3.724                ,202.68,200.32   ,4694920 ,20181016,1        ,340,7.119366217183362 ,7.965251282156204
2018-10-17,207.44 ,207.85            ,204.81 ,-0.16399999999999998 ,207.51,207.78   ,185244  ,20181017,2        ,341,7.156696561075782 ,7.9072177778687065
2018-10-18,203.62 ,207.22            ,202.26 ,-1.841               ,206.97,207.44   ,6264474 ,20181018,3        ,342,7.007905964614355 ,7.588922074152892
2018-10-19,203.06 ,207.44            ,203.0  ,-0.275               ,203.87,203.62   ,4832515 ,20181019,4        ,343,6.774459967831233 ,7.169065797599177
2018-10-22,204.5  ,206.26            ,201.88 ,0.7090000000000001   ,203.72,203.06   ,4045080 ,20181022,0        ,344,6.556781788937483 ,6.797190357919287
2018-10-23,202.43 ,203.73            ,196.6  ,-1.012               ,199.49,204.5    ,5076762 ,20181023,1        ,345,6.608892535397713 ,6.841564976863381
